SCHOOL,ID,LONGITUD,LATITUDE,Year,Round,Is_Center
LSU,159391,-91.178921,30.414986,1987,Sweet 16,N
DePaul,144740,-87.62724,41.877618,1987,Sweet 16,N
UNLV,182281,-115.138462,36.106047,1987,Sweet 16,N
Wyoming,240727,-105.57931,41.311772999999995,1987,Sweet 16,N
Iowa,153658,-91.536425,41.661935,1987,Sweet 16,N
Oklahoma,207500,-97.444211,35.209407,1987,Sweet 16,N
Centroid,0,-88.06550125,37.81076619,1987,Sweet 16,Y
North Carolina,199120,-79.050969,35.911769,1987,Elite 8,N
Syracuse,196413,-76.136975,43.040176,1987,Elite 8,N
Georgetown,131496,-77.073463,38.908809000000005,1987,Elite 8,N
Providence,217402,-71.437446,41.842742,1987,Elite 8,N
Indiana,151351,-86.52655899999999,39.166090000000004,1987,Elite 8,N
LSU,159391,-91.178921,30.414986,1987,Elite 8,N
UNLV,182281,-115.138462,36.106047,1987,Elite 8,N
Iowa,153658,-91.536425,41.661935,1987,Elite 8,N
Centroid,0,-86.0099025,38.38156925,1987,Elite 8,Y
UNLV,182281,-115.138462,36.106047,1987,Final 4,N
Providence,217402,-71.437446,41.842742,1987,Final 4,N
Indiana,151351,-86.52655899999999,39.166090000000004,1987,Final 4,N
Syracuse,196413,-76.136975,43.040176,1987,Final 4,N
Centroid,0,-87.3098605,40.03876375,1987,Final 4,Y
Temple,216339,-75.156859,39.980546000000004,1988,All,N
Duke,198419,-78.937624,36.001135,1988,All,N
Syracuse,196413,-76.136975,43.040176,1988,All,N
Indiana,151351,-86.52655899999999,39.166090000000004,1988,All,N
Georgia Tech,139755,-84.394832,33.772420000000004,1988,All,N
Missouri,178396,-92.328843,38.94531,1988,All,N
SMU,228246,-96.783365,32.843612,1988,All,N
Georgetown,131496,-77.073463,38.908809000000005,1988,All,N
LSU,159391,-91.178921,30.414986,1988,All,N
Notre Dame,152080,-86.238959,41.703058,1988,All,N
Rhode Island,217484,-71.52735600000001,41.484691,1988,All,N
Iowa State,153603,-93.648504,42.026212,1988,All,N
Richmond,233374,-77.53880600000001,37.577393,1988,All,N
North Carolina A&T,199102,-79.773375,36.07282,1988,All,N
Boston University,164988,-71.10794200000001,42.351118,1988,All,N
Lehigh,213543,-75.380236,40.606821999999994,1988,All,N
Purdue,243780,-86.914435,40.428206,1988,All,N
Pittsburgh,215293,-79.953254,40.444388000000004,1988,All,N
NC State,199193,-78.67451700000001,35.785111,1988,All,N
Kansas State,155399,-96.58107700000001,39.188648,1988,All,N
DePaul,144740,-87.62724,41.877618,1988,All,N
Kansas,155317,-95.247567,38.958549,1988,All,N
Vanderbilt,221999,-86.80336899999999,36.14659,1988,All,N
Baylor,223232,-97.121041,31.546871999999997,1988,All,N
Memphis,220862,-89.938068,35.118878,1988,All,N
Utah State,230728,-111.81391,41.740747999999996,1988,All,N
Xavier,206622,-84.47465,39.149547,1988,All,N
Wichita State,156125,-97.292361,37.718882,1988,All,N
La Salle,213367,-75.153061,40.037979,1988,All,N
Murray State,157401,-88.323629,36.612419,1988,All,N
Eastern Michigan,169798,-83.627443,42.251675,1988,All,N
Fairleigh Dickinson,184603,-74.028986,40.897209000000004,1988,All,N
Oklahoma,207500,-97.444211,35.209407,1988,All,N
Kentucky,157085,-84.504747,38.038911,1988,All,N
Illinois,145637,-88.229114,40.104718,1988,All,N
BYU,230038,-111.649281,40.250851000000004,1988,All,N
Louisville,157289,-85.760412,38.216862,1988,All,N
Villanova,216597,-75.345457,40.039388,1988,All,N
Maryland,163286,-76.944721,38.988178000000005,1988,All,N
Auburn,100858,-85.488258,32.599378,1988,All,N
Bradley,143358,-89.616786,40.696896,1988,All,N
UC Santa Barbara,110705,-119.846426,34.416297,1988,All,N
Arkansas,106397,-94.17698100000001,36.070009000000006,1988,All,N
Oregon State,209542,-123.274723,44.56395,1988,All,N
UNC-Charlotte,199139,-80.730919,35.306022,1988,All,N
UTSA,229027,-98.620657,29.583709000000002,1988,All,N
Southern,160621,-91.190105,30.524558000000003,1988,All,N
Chattanooga,221740,-85.300247,35.047519,1988,All,N
Arizona,104179,-110.95081499999999,32.232671999999994,1988,All,N
North Carolina,199120,-79.050969,35.911769,1988,All,N
Michigan,170976,-83.742769,42.275921000000004,1988,All,N
UNLV,182281,-115.138462,36.106047,1988,All,N
Iowa,153658,-91.536425,41.661935,1988,All,N
Florida,134130,-82.347911,29.646290000000004,1988,All,N
Wyoming,240727,-105.57931,41.311772999999995,1988,All,N
Seton Hall,186584,-74.246027,40.742336,1988,All,N
UTEP,228796,-106.504098,31.77015,1988,All,N
Loyola Marymount,117946,-118.41574399999999,33.97085,1988,All,N
St. John's,195809,-73.796104,40.722522999999995,1988,All,N
Florida State,134097,-84.291921,30.440756,1988,All,N
Missouri State,179566,-93.281281,37.199258,1988,All,N
Boise State,142115,-116.203301,43.604284,1988,All,N
North Texas,227216,-97.148422,33.211178000000004,1988,All,N
Cornell,190415,-76.48308399999999,42.4472,1988,All,N
Centroid,0,-89.43979555,37.7454705,1988,All,Y
Temple,216339,-75.156859,39.980546000000004,1988,Sweet 16,N
Richmond,233374,-77.53880600000001,37.577393,1988,Sweet 16,N
Duke,198419,-78.937624,36.001135,1988,Sweet 16,N
Rhode Island,217484,-71.52735600000001,41.484691,1988,Sweet 16,N
Purdue,243780,-86.914435,40.428206,1988,Sweet 16,N
Kansas State,155399,-96.58107700000001,39.188648,1988,Sweet 16,N
Kansas,155317,-95.247567,38.958549,1988,Sweet 16,N
Vanderbilt,221999,-86.80336899999999,36.14659,1988,Sweet 16,N
Oklahoma,207500,-97.444211,35.209407,1988,Sweet 16,N
Louisville,157289,-85.760412,38.216862,1988,Sweet 16,N
Villanova,216597,-75.345457,40.039388,1988,Sweet 16,N
Kentucky,157085,-84.504747,38.038911,1988,Sweet 16,N
Arizona,104179,-110.95081499999999,32.232671999999994,1988,Sweet 16,N
Iowa,153658,-91.536425,41.661935,1988,Sweet 16,N
North Carolina,199120,-79.050969,35.911769,1988,Sweet 16,N
Michigan,170976,-83.742769,42.275921000000004,1988,Sweet 16,N
Centroid,0,-86.06518112,38.33453894,1988,Sweet 16,Y
Temple,216339,-75.156859,39.980546000000004,1988,Elite 8,N
Duke,198419,-78.937624,36.001135,1988,Elite 8,N
Kansas State,155399,-96.58107700000001,39.188648,1988,Elite 8,N
Kansas,155317,-95.247567,38.958549,1988,Elite 8,N
Oklahoma,207500,-97.444211,35.209407,1988,Elite 8,N
Villanova,216597,-75.345457,40.039388,1988,Elite 8,N
Arizona,104179,-110.95081499999999,32.232671999999994,1988,Elite 8,N
North Carolina,199120,-79.050969,35.911769,1988,Elite 8,N
Centroid,0,-88.58932238,37.19026425,1988,Elite 8,Y
Duke,198419,-78.937624,36.001135,1988,Final 4,N
Kansas,155317,-95.247567,38.958549,1988,Final 4,N
Arizona,104179,-110.95081499999999,32.232671999999994,1988,Final 4,N
Oklahoma,207500,-97.444211,35.209407,1988,Final 4,N
Centroid,0,-95.64505425,35.60044075,1988,Final 4,Y
Georgetown,131496,-77.073463,38.908809000000005,1989,All,N
Duke,198419,-78.937624,36.001135,1989,All,N
Stanford,243744,-122.167359,37.429434,1989,All,N
Iowa,153658,-91.536425,41.661935,1989,All,N
NC State,199193,-78.67451700000001,35.785111,1989,All,N
Kansas State,155399,-96.58107700000001,39.188648,1989,All,N
West Virginia,238032,-79.954391,39.634371,1989,All,N
Vanderbilt,221999,-86.80336899999999,36.14659,1989,All,N
Notre Dame,152080,-86.238959,41.703058,1989,All,N
Tennessee,221759,-83.925852,35.952082,1989,All,N
Minnesota,174066,-93.23546400000001,44.972851,1989,All,N
South Carolina,218663,-81.026935,33.996788,1989,All,N
Rutgers,186380,-74.446251,40.498769,1989,All,N
Siena,195474,-73.7526,42.717602,1989,All,N
South Carolina State,218733,-80.848722,33.497968,1989,All,N
